sample,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7
sample1,-0.23046936305168764,0.01661020581109397,0.7027206121814843,0.3676004777624795,0.22169776171434252,-0.8294861310138749,-1.5379729954034287
sample10,-0.21124924869878228,1.4673822767843956,-0.045252883308150874,0.014681848744923861,-0.3722336246015034,0.6912830697101979,-0.2758291591757236
sample100,0.16205374595594196,0.6036560120175477,0.09908090872505061,0.3823227956768198,-0.4080949108601569,0.47701150981752727,0.3655013910244635
sample101,-1.2025991883078089,0.0915736885031912,0.6397378319994882,0.930637717653081,0.3322975932923331,0.36685484095889953,-0.12244851892765392
sample102,-0.9888310537007272,1.0191462780269167,-0.4396286463597662,-0.4557947946072717,0.11708203409792207,-0.45544594268071154,-0.6730277813778667
sample103,-0.7207095520536646,-0.423067294811166,0.3513870085955225,-0.06229619838421276,-1.3521234514707707,-0.22265422938821297,-0.048257044068447025
sample104,0.23632915796240625,-0.9016816277639073,-1.491083318502894,-0.17765106474835388,0.2326242666526128,-0.4550828760292677,0.2834195746778048
sample105,-0.7504511574648152,-2.385023633863086,-0.820523862491263,0.9464813154077992,0.681927888281546,-0.7187931153675683,-0.2727720363176373
sample106,0.15815698588114827,-0.236866289299488,-0.4722484136063493,0.33992225778696583,0.06593495643871236,-0.1985541649585283,-1.5841791003303762
sample107,-0.9843298618259286,-0.06697938896310915,0.38134133859280295,0.9261192561428161,0.727132031783006,0.2878243222866921,0.19162550895343777
sample109,0.8855606182927177,0.028114756178262985,1.4821406046066419,-0.1085653829305496,-0.2175673299509224,0.30501958559674985,0.2927734063263355
sample11,1.063861933795906,0.007678241545594231,-0.35257996211552434,-0.690081745084596,-0.5041076433976243,-0.9240893931064568,1.0512778674054886
sample110,1.183452143977338,-0.16190873308350773,0.5146682173455133,-0.156625543546964,0.22809585648593625,-0.676874965252831,0.4704966950113748
sample111,-0.3382990571019269,0.22700492621613655,0.42918344740622816,0.978603106242495,-0.0447247899886163,0.5606982602435132,-0.25814108779240935
sample113,0.33669153871775526,0.22815045189208016,1.2137649764787084,-0.813658538104896,-0.01894414952727714,-0.0011179453757377902,-1.202484079303002
sample114,0.46258431288367946,0.23351198960084002,1.0330991955760493,-1.4812520279100758,-0.5567704054306706,-0.4582304369782628,-0.5513974274366755
sample115,-0.5547990994532601,-0.5585390623977766,0.19323283257916923,0.1621244568221935,-0.5773980486795721,0.1484155076566736,-0.2776543048619074
sample116,-0.07952128827317176,-0.638869886378034,-0.5503275931238684,0.4396923337013538,0.4517136485182898,-0.959665945796737,0.860121720400651
sample117,0.9676964626910495,1.142910925326884,1.1648840644737666,0.419955825880188,-0.1279744754186576,0.008391807282435264,-0.7830756424281464
sample118,-0.4751321428077873,-1.6367678480921672,-2.7689598373530773,0.02761778351618266,-0.30481892548122386,-1.4483623893979982,-0.31082237343153785
sample119,-0.9921053290869416,0.4734523767574718,1.0428882531891643,0.5286921399012217,-0.5552655058885111,0.20196221468371767,0.1214555284138646
sample12,-1.4701108739932236,1.0672416159022406,0.8626332276852535,0.19792242944591537,1.0873298886499072,-1.6834597232494035,0.9531308264783369
sample120,-0.41598930542664603,-0.4872297833842675,0.8094546517286888,-0.25153547488560657,-0.3588598484705969,0.03412842869092639,-0.04452712660665433
sample121,0.004993567185792811,-1.8037364678994694,0.3745145848539613,0.13772454408023843,-1.136824257213553,-0.4141602978203721,0.12123466752855007
sample122,-0.6242792528748566,-0.1605293167575248,0.5312300114539831,2.225733903636644,0.27301396721757015,0.032038322455184454,-0.416694089059525
sample123,-0.13322602502484943,1.7930969343362515,0.8950979346443801,0.4705241071576872,-1.2953009822522479,0.006684541133056741,0.18514489075805646
sample124,0.12175788200073255,0.8402990646357952,0.7905589690811111,-1.122516734871276,0.8099602493983249,-0.2113271727219913,-0.3354706809267437
sample125,-0.10193607975786374,-0.7353143998233965,-0.8998753262899438,0.9604690760964313,0.323342560819119,1.1162539991887286,0.3361811590649089
sample126,0.31500772037461783,0.26897544600401957,0.009869549915376447,-1.100908434344101,0.020429941604092443,0.2276865251614678,-0.9376786601210717
sample127,-0.3143930162550739,0.881707909422992,0.5057837440415224,-1.0274291558871496,1.3823533949820577,0.20803151496753775,0.6636824878456122
sample128,-0.0884008229927519,-0.6741951127987477,1.5292906735458986,-1.0000241303924786,-0.4643568698476064,0.49403045379932065,0.39078919175237303
sample129,0.8246334948125401,0.6086795724605325,0.59478349473862,0.01011906380935325,0.09128472065213276,0.17681211662354138,-0.45807277225410864
sample13,-0.6245691584990372,0.5661041268490727,1.240452043250352,0.20803519088187594,-0.14500264378691788,1.1020883469522982,-0.4355418440506536
sample130,-0.09546760638947988,0.5302409450871994,1.1626750115215763,-0.9337577634945089,-0.30922658488076604,-0.3210493249671244,-1.2823770232044325
sample131,0.6039692911397206,0.8886455468519359,-1.6275863913452677,-0.8146023191688672,-0.24461604855437702,0.3327764485177146,0.41855239465353894
sample132,0.02352116410582928,0.4341510848799111,-1.139055208091814,-0.4374799934981037,-0.7497191687631516,0.15344388836871886,-1.1333932518096466
